,name,first,middle,last,format
25295,"Abodeely, Mark F.",Mark,F,Abodeely,5
54022,Abongo Humphrey,Abongo,,Humphrey,0
28460,"Abotare, Akua O.",Akua,O,Abotare,5
45513,Abou Moussa,Abou,,Moussa,0
33938,"Abou-Zamzam, Ahmed",Ahmed,,Abou-Zamzam,2
562,Abouelfetoh Abdelrazek,Abouelfetoh,,Abdelrazek,0
563,Abraham Assefa,Abraham,,Assefa,0
41700,Abraham Attah,Abraham,,Attah,0
47479,Abraham Bos,Abraham,,Bos,0
38533,Abraham Charnes,Abraham,,Charnes,0
38419,Abraham Fletcher,Abraham,,Fletcher,0
38804,Abraham Fraenkel,Abraham,,Fraenkel,0
48,Abraham Fryer,Abraham,,Fryer,0
39193,Abraham H. Taub,Abraham,H,Taub,4
44941,Abraham Halpern,Abraham,,Halpern,0
38151,Abraham Nemeth,Abraham,,Nemeth,0
38584,Abraham Neyman,Abraham,,Neyman,0
38668,Abraham Plessner,Abraham,,Plessner,0
39307,Abraham Robertson,Abraham,,Robertson,0
564,Abraham Sarkakhyan,Abraham,,Sarkakhyan,0
39239,Abraham Sharp,Abraham,,Sharp,0
565,Abraham Sprachman,Abraham,,Sprachman,0
566,Abraham Surez,Abraham,,Surez,0
567,Abraham Sykes,Abraham,,Sykes,0
568,Abraham Torres,Abraham,,Torres,0
39619,Abraham Wald,Abraham,,Wald,0
38585,Abraham Zacuto,Abraham,,Zacuto,0
24562,"Abrahams, Barry",Barry,,Abrahams,2
28953,"Abrahamson, Dale",Dale,,Abrahamson,2
54023,Abram Torres,Abram,,Torres,0
28471,"Abram, Courtney",Courtney,,Abram,2
28767,"Abrams, Deborah",Deborah,,Abrams,2
31684,"Abrams, Thomas H.",Thomas,H,Abrams,5
569,Abreham Cherkos Feleke,Abreham,Cherkos,Feleke,1
22647,"Abrew, Amy J.",Amy,J,Abrew,5
48322,Abrewa Nana,Abrewa,,Nana,0
570,Absalom Shabangu,Absalom,,Shabangu,0
42194,Absar Ahmad,Absar,,Ahmad,0
42890,Abu Bakr Mansha,Abu,Bakr,Mansha,1
37920,Abu Bakr al-Hassar,Abu,Bakr,al-Hassar,1
53999,Abu Jayed Chowdhury,Abu,Jayed,Chowdhury,1
45480,Abu Saymeh,Abu,,Saymeh,0
48220,Abu Zubaydah,Abu,,Zubaydah,0
37907,Abu al-Jud,Abu,,al-Jud,0
571,Abubakar Abbas Abbas,Abubakar,Abbas,Abbas,1
52792,Abubakar Shehu-Abubakar,Abubakar,,Shehu-Abubakar,0
572,Abubaker Haydar Abdalla,Abubaker,Haydar,Abdalla,1
51402,Aca Lukas,Aca,,Lukas,0
29887,"Accola-Newell, Tammy A.",Tammy,A,Accola-Newell,5
46083,Ace Cannon,Ace,,Cannon,0
573,Acer Gary Nethercott,Acer,Gary,Nethercott,1
36318,"Achard, Bruno",Bruno,,Achard,2
19193,"Achatz, Ryan",Ryan,,Achatz,2
37616,"Acheampong, Edward",Edward,,Acheampong,2
27687,"Achenbach, Janelle",Janelle,,Achenbach,2
39261,Acheson J. Duncan,Acheson,J,Duncan,4
31805,"Achmuller, Hermann",Hermann,,Achmuller,2
25244,"Achterkamp, Klaus",Klaus,,Achterkamp,2
23189,"Ackerman, Cara",Cara,,Ackerman,2
31508,"Ackerman, Jody",Jody,,Ackerman,2
37560,"Ackerman, Jody J.",Jody,J,Ackerman,5
23806,"Ackerman, Peter P.",Peter,P,Ackerman,5
22339,"Ackerot, Hans",Hans,,Ackerot,2
36909,"Acosta, Carlos F.",Carlos,F,Acosta,5
37395,"Acosta, Tanya B.",Tanya,B,Acosta,5
36696,"Acuff, Bob",Bob,,Acuff,2
29479,"Acuna, Armando",Armando,,Acuna,2
44254,Ad Melkert,Ad,,Melkert,0
574,Ada Fall,Ada,,Fall,0
575,Ada Sellam,Ada,,Sellam,0
52129,Ada Tolla,Ada,,Tolla,0
51837,Adaeze Yobo,Adaeze,,Yobo,0
48512,Adal Hernandez,Adal,,Hernandez,0
576,Adalbert Agh,Adalbert,,Agh,0
577,Adalbert Koch,Adalbert,,Koch,0
578,Adalbert Oster,Adalbert,,Oster,0
579,Adalbert Toots,Adalbert,,Toots,0
580,Adalberto Cardoso,Adalberto,,Cardoso,0
581,Adalberto Hernndez,Adalberto,,Hernndez,0
582,Adalberto Scorza,Adalberto,,Scorza,0
583,Adalberts Bubenko,Adalberts,,Bubenko,0
584,Adam Antes,Adam,,Antes,0
48881,Adam Ashe,Adam,,Ashe,0
38544,Adam Back,Adam,,Back,0
42604,Adam Bock,Adam,,Bock,0
47700,Adam Bosworth,Adam,,Bosworth,0
44979,Adam Bromley,Adam,,Bromley,0
47966,Adam Burt,Adam,,Burt,0
585,Adam Burton,Adam,,Burton,0
50743,Adam C. Hochfelder,Adam,C,Hochfelder,4
51770,Adam Cahan,Adam,,Cahan,0
54024,Adam Cella,Adam,,Cella,0
46474,Adam Coote,Adam,,Coote,0
49108,Adam Dobson,Adam,,Dobson,0
47650,Adam Farley,Adam,,Farley,0
586,Adam Faul,Adam,,Faul,0
587,Adam Froese,Adam,,Froese,0
49493,Adam Gee,Adam,,Gee,0
53166,Adam George Huckle,Adam,George,Huckle,1
50178,Adam Haslett,Adam,,Haslett,0
52007,Adam Hochberg,Adam,,Hochberg,0
52242,Adam Hood,Adam,,Hood,0
588,Adam Hostetter,Adam,,Hostetter,0
54025,Adam Hunter,Adam,,Hunter,0
42153,Adam Jansen,Adam,,Jansen,0
589,Adam John-Georg Laurent,Adam,John-Georg,Laurent,1
590,Adam Juretzko,Adam,,Juretzko,0
48924,Adam Kleeberger,Adam,,Kleeberger,0
591,Adam Kolasa,Adam,,Kolasa,0
44871,Adam Kreek,Adam,,Kreek,0
48050,Adam Lambert,Adam,,Lambert,0
44773,Adam Lange,Adam,,Lange,0
38480,Adam Logan,Adam,,Logan,0
592,Adam Lucas,Adam,,Lucas,0
54026,Adam Lynn,Adam,,Lynn,0
53167,Adam Lyth,Adam,,Lyth,0
50126,Adam Macrow,Adam,,Macrow,0
53165,Adam Marc Bacher,Adam,Marc,Bacher,1
43994,Adam Masterson,Adam,,Masterson,0
593,Adam May,Adam,,May,0
42553,Adam Mazer,Adam,,Mazer,0
594,Adam McLean,Adam,,McLean,0
46852,Adam Neylon,Adam,,Neylon,0
595,Adam Nolan,Adam,,Nolan,0
52504,Adam Oates,Adam,,Oates,0
52444,Adam Owen,Adam,,Owen,0
596,Adam Petrou,Adam,,Petrou,0
597,Adam Ptek,Adam,,Ptek,0
52985,Adam Roffman,Adam,,Roffman,0
598,Adam Russell Thomas,Adam,Russell,Thomas,1
53168,Adam Sanford,Adam,,Sanford,0
47044,Adam Shaheen,Adam,,Shaheen,0
39427,Adam Spencer,Adam,,Spencer,0
599,Adam Starostka,Adam,,Starostka,0
54027,Adam Steele,Adam,,Steele,0
46762,Adam Stemple,Adam,,Stemple,0
43746,Adam Sztaba,Adam,,Sztaba,0
600,Adam Tony Forsyth,Adam,Tony,Forsyth,1
601,Adam Wheeler,Adam,,Wheeler,0
602,Adam Wolff,Adam,,Wolff,0
603,Adam Yates,Adam,,Yates,0
53994,Adam Zampa,Adam,,Zampa,0
30757,"Adam-Terem, Rosemary C.",Rosemary,C,Adam-Terem,5
604,Adama Damballey,Adama,,Damballey,0
605,Adama Jammeh,Adama,,Jammeh,0
606,Adama Osumanu,Adama,,Osumanu,0
607,Adama Tamboura,Adama,,Tamboura,0
28763,"Adame, Carlos",Carlos,,Adame,2
22073,"Adamopoulos, Paul",Paul,,Adamopoulos,2
608,Adamou Allassane,Adamou,,Allassane,0
24765,"Adams, Bethany J.",Bethany,J,Adams,5
31193,"Adams, Cera",Cera,,Adams,2
25309,"Adams, Eugene",Eugene,,Adams,2
29207,"Adams, Gregory",Gregory,,Adams,2
34453,"Adams, Heather B.",Heather,B,Adams,5
23822,"Adams, Jane",Jane,,Adams,2
36029,"Adams, Jean M.",Jean,M,Adams,5
35530,"Adams, Jedonna",Jedonna,,Adams,2
25371,"Adams, Jerry W.",Jerry,W,Adams,5
37743,"Adams, John P.",John,P,Adams,5
35942,"Adams, Kathy",Kathy,,Adams,2
36578,"Adams, Laura E.",Laura,E,Adams,5
20057,"Adams, Lee",Lee,,Adams,2
33859,"Adams, Lynette",Lynette,,Adams,2
21161,"Adams, Mara",Mara,,Adams,2
30039,"Adams, Mark",Mark,,Adams,2
30011,"Adams, Paul D.",Paul,D,Adams,5
24205,"Adams, Paulette",Paulette,,Adams,2
19188,"Adams, Randall",Randall,,Adams,2
25050,"Adams, Raynor G.",Raynor,G,Adams,5
23097,"Adams, Robert",Robert,,Adams,2
24604,"Adams, Ron",Ron,,Adams,2
23982,"Adams, Tammy J.",Tammy,J,Adams,5
21423,"Adams, Wesley",Wesley,,Adams,2
26943,"Adams, Zachary",Zachary,,Adams,2
45592,Adamu Garba Talba,Adamu,Garba,Talba,1
45238,Adamu Gumba,Adamu,,Gumba,0
42971,Adamu Mu'azu,Adamu,,Mu'azu,0
609,Adan Jurez Serrano,Adan,Jurez,Serrano,1
25822,"Adcock, Brady",Brady,,Adcock,2
610,Addo Ndala,Addo,,Ndala,0
45553,Addy Lee,Addy,,Lee,0
48462,Ade Edmondson,Ade,,Edmondson,0
42749,Ade Gardner,Ade,,Gardner,0
611,Adebayo Oladapo,Adebayo,,Oladapo,0
45975,Adeeb Kamal Ad-Deen,Adeeb,Kamal,Ad-Deen,1
612,Adel Ahmed El-Mahmour,Adel,Ahmed,El-Mahmour,1
613,Adel Ahmed Malalla,Adel,Ahmed,Malalla,1
614,Adel Al-Kahham,Adel,,Al-Kahham,0
49876,Adel Arnaout,Adel,,Arnaout,0
615,Adel El-Sharkawy,Adel,,El-Sharkawy,0
616,Adel Hammoude,Adel,,Hammoude,0
617,Adel Mulla Al-Mulla,Adel,Mulla,Al-Mulla,1
618,Adel Sennoun,Adel,,Sennoun,0
38382,Adelard of Bath,Adelard,of,Bath,1
49207,Adele Khoury Graham,Adele,Khoury,Graham,1
43387,Adeleke Mamora,Adeleke,,Mamora,0
619,Adelfo Magallanes Campos,Adelfo,Magallanes,Campos,1
32237,"Adelman, Dan L.",Dan,L,Adelman,5
23182,"Adelman, Doug",Doug,,Adelman,2
620,Adem Bereket,Adem,,Bereket,0
49902,Adema Sangale,Adema,,Sangale,0
621,Ademar Jos Kammler,Ademar,Jos,Kammler,1
43611,Aden Robleh Awaleh,Aden,Robleh,Awaleh,1
622,Aden Tutton,Aden,,Tutton,0
623,Adeola Aboyade-Cole,Adeola,,Aboyade-Cole,0
34347,"Ader, Jason N.",Jason,N,Ader,5
47561,Adetokunbo Kayode,Adetokunbo,,Kayode,0
49556,Adetoye Oyetola Sode,Adetoye,Oyetola,Sode,1
28457,"Adgate, Kenneth P.",Kenneth,P,Adgate,5
624,Adham Medhat,Adham,,Medhat,0
625,Adhan Mohamed,Adhan,,Mohamed,0
32758,"Adler, Ashley",Ashley,,Adler,2
33940,"Adler, Leonard",Leonard,,Adler,2
25331,"Adley, Keaghan",Keaghan,,Adley,2
626,Adnan Ahmed,Adnan,,Ahmed,0
53169,Adnan Akmal,Adnan,,Akmal,0
627,Adnan El-Khuja,Adnan,,El-Khuja,0
46689,Adnan Koucher,Adnan,,Koucher,0
47465,Adnan Sarwar,Adnan,,Sarwar,0
628,Adnan Youssef,Adnan,,Youssef,0
629,Ado Maude,Ado,,Maude,0
630,Adolf Aebersold,Adolf,,Aebersold,0
631,Adolf Bergman,Adolf,,Bergman,0
632,Adolf Hafner,Adolf,,Hafner,0
633,Adolf Heeb,Adolf,,Heeb,0
634,Adolf Herschmann,Adolf,,Herschmann,0
635,Adolf Hoch,Adolf,,Hoch,0
636,Adolf Josef Bachura,Adolf,Josef,Bachura,1
38887,Adolf Kneser,Adolf,,Kneser,0
637,Adolf Koxeder,Adolf,,Koxeder,0
638,Adolf Krause,Adolf,,Krause,0
38905,Adolf Krazer,Adolf,,Krazer,0
639,Adolf Kurz,Adolf,,Kurz,0
640,Adolf Laudon,Adolf,,Laudon,0
641,Adolf Potoar,Adolf,,Potoar,0
642,Adolf Robert Zander,Adolf,Robert,Zander,1
643,Adolf Rysler,Adolf,,Rysler,0
39483,Adolf Schepp,Adolf,,Schepp,0
644,Adolf Schwarte,Adolf,,Schwarte,0
645,Adolf Stockhausen,Adolf,,Stockhausen,0
646,Adolf Tobler,Adolf,,Tobler,0
647,Adolf Wagner,Adolf,,Wagner,0
648,Adolf Wamper,Adolf,,Wamper,0
649,Adolf Waser,Adolf,,Waser,0
650,Adolf Wrbel,Adolf,,Wrbel,0
651,Adolfas Aleksejnas,Adolfas,,Aleksejnas,0
39017,Adolfas Jucys,Adolfas,,Jucys,0
652,Adolfo Carrau,Adolfo,,Carrau,0
653,Adolfo Horta Martnez,Adolfo,Horta,Martnez,1
654,Adolfo J. Mancuso,Adolfo,J,Mancuso,4
655,Adolfo Schlegel,Adolfo,,Schlegel,0
17869,Adolph Caesar,Adolph,,Caesar,0
16870,Adolph Zukor,Adolph,,Zukor,0
28688,"Adolph, Cathy",Cathy,,Adolph,2
656,Adolphe Emmanuel Rouleau,Adolphe,Emmanuel,Rouleau,1
657,Adolphe Hauman,Adolphe,,Hauman,0
658,Adolphe Jaurguy,Adolphe,,Jaurguy,0
659,Adolphe Osselaer,Adolphe,,Osselaer,0
39629,Adolphe Quetelet,Adolphe,,Quetelet,0
660,Adolphe Reymond,Adolphe,,Reymond,0
661,Adolphe Thomegeux,Adolphe,,Thomegeux,0
24961,"Aduba, Uzoamaka N.",Uzoamaka,N,Aduba,5
43346,Ady Jean-Gardy,Ady,,Jean-Gardy,0
52930,Ady Spencer,Ady,,Spencer,0
21159,"Aertebjerg, Sysser A.",Sysser,A,Aertebjerg,5
49275,Afaq Ahmed,Afaq,,Ahmed,0
662,Afo Duodu,Afo,,Duodu,0
33013,"Afonso, Joao A.",Joao,A,Afonso,5
53170,Aftab Ahmed Chowdhury,Aftab,Ahmed,Chowdhury,1
53171,Aftab Alam,Aftab,,Alam,0
53172,Aftab Baloch,Aftab,,Baloch,0
53173,Aftab Gul Khan,Aftab,Gul,Khan,1
48669,Aftab Sachak,Aftab,,Sachak,0
53174,Aftabobeen Shamshudeen,Aftabobeen,,Shamshudeen,0
41575,Agata Kulesza,Agata,,Kulesza,0
663,Agathe Ngo Nack,Agathe,Ngo,Nack,1
24190,"Ager, Robert",Robert,,Ager,2
35170,"Ager, Steph J.",Steph,J,Ager,5
22382,"Agla, Cheryl L.",Cheryl,L,Agla,5
38685,Agner Krarup Erlang,Agner,Krarup,Erlang,1
41838,Agnes Baltsa,Agnes,,Baltsa,0
48318,Agnes Carlsson,Agnes,,Carlsson,0
664,Agnes Dusart,Agnes,,Dusart,0
665,Agnes Pardaens,Agnes,,Pardaens,0
666,Agnese Koklaa,Agnese,,Koklaa,0
31996,"Agnew, Jeremy",Jeremy,,Agnew,2
35212,"Agnew, Megan E.",Megan,E,Agnew,5
31280,"Agudelo, John A.",John,A,Agudelo,5
25690,"Ague-Kneeland, Kellen",Kellen,,Ague-Kneeland,2
35114,"Aguero, Jose F.",Jose,F,Aguero,5
19263,"Aguero, Matt",Matt,,Aguero,2
667,Agustn Aranzbal Alkorta,Agustn,Aranzbal,Alkorta,1
668,Agustn Argote Marqunez,Agustn,Argote,Marqunez,1
669,Agustn Bertomeu Lpez,Agustn,Bertomeu,Lpez,1
670,Agustn Caldern Dez,Agustn,Caldern,Dez,1
671,Agustn Jurez,Agustn,,Jurez,0
672,Agustn Ojeda,Agustn,,Ojeda,0
673,Agustn Rocha Cano,Agustn,Rocha,Cano,1
674,Agustn Zaragoza Reyna,Agustn,Zaragoza,Reyna,1
41828,Aharon Solomons,Aharon,,Solomons,0
31228,"Ahearn, Thomas",Thomas,,Ahearn,2
27866,"Ahlgren, Scott",Scott,,Ahlgren,2
